Package,Compromised Versions
"ai-figure","0.5.0, 0.6.0"
"amapcn","0.2.2, 0.3.2"
"@antv/a8","0.1.1, 0.2.1"
"@antv/adjust","0.3.5, 0.4.5"
"@antv/algorithm","0.2.26, 0.3.26"
"@antv/async-hook","2.3.9, 2.4.9"
"@antv/attr","0.4.5, 0.5.5"
"@antv/ava","3.5.1, 3.6.1"
"@antv/ava-react","3.4.2, 3.5.2"
"@antv/awards","0.1.9, 0.2.9"
"@antv/calendar-heatmap","1.2.2, 1.3.2"
"@antv/chart-linter","1.2.6, 1.3.6"
"@antv/chart-node-g6","0.1.4, 0.2.4"
"@antv/chart-visualization-skills","0.2.3, 0.3.3"
"@antv/ckb","2.1.4, 2.2.4"
"@antv/color-schema","0.3.3, 0.4.3"
"@antv/color-util","2.1.6, 2.2.6"
"@antv/component","2.2.11, 2.3.11"
"@antv/coord","0.5.7, 0.6.7"
"@antv/d3-color","1.1.0, 1.2.0"
"@antv/d3-interpolate","1.1.3, 1.2.3"
"@antv/data-samples","1.1.1, 1.2.1"
"@antv/data-set","0.12.8, 0.13.8"
"@antv/data-wizard","2.1.4, 2.2.4"
"@antv/dipper-component","0.1.4, 0.2.4"
"@antv/dipper-hooks","0.3.1, 0.4.1"
"@antv/dipper-map","1.1.10, 1.2.10"
"@antv/dom-util","2.1.4, 2.2.4"
"@antv/dumi-theme-antv","0.10.4, 0.9.4"
"@antv/dw-analyzer","1.2.5, 1.3.5"
"@antv/dw-random","1.2.7, 1.3.7"
"@antv/dw-transform","1.2.7, 1.3.7"
"@antv/dw-util","1.2.4, 1.3.4"
"@antv/event-emitter","0.2.3, 0.3.3"
"@antv/expr","1.1.2, 1.2.2"
"@antv/f2-algorithm","5.8.0, 5.9.0"
"@antv/f2-canvas","1.1.5, 1.2.5"
"@antv/f2-context","0.1.1, 0.2.1"
"@antv/f2-graphic","0.1.16, 0.2.16"
"@antv/f2-my","4.1.52, 4.2.52"
"@antv/f2-react","5.15.0, 5.16.0"
"@antv/f2-site","4.1.42, 4.2.42"
"@antv/f2-vue","4.1.33, 4.2.33"
"@antv/f2-wordcloud","5.15.0, 5.16.0"
"@antv/f2-wx","4.1.51, 4.2.51"
"@antv/f6","0.1.19, 0.2.19"
"@antv/f6-alipay","0.1.7, 0.2.7"
"@antv/f6-core","0.1.2, 0.2.2"
"@antv/f6-element","0.1.1, 0.2.1"
"@antv/f6-hammerjs","0.1.2, 0.2.2"
"@antv/f6-plugin","1.1.6, 1.2.6"
"@antv/f6-ui","1.1.3, 1.2.3"
"@antv/f6-wx","0.1.7, 0.2.7"
"@antv/f-charts","0.1.0, 0.2.0"
"@antv/f-engine","1.11.0, 1.12.0"
"@antv/f-lottie","1.11.0, 1.12.0"
"@antv/f-my","1.11.0, 1.12.0"
"@antv/f-react","1.11.0, 1.12.0"
"@antv/f-test-utils","1.1.9, 1.2.9"
"@antv/f-vue","1.11.0, 1.12.0"
"@antv/f-wx","1.11.0, 1.12.0"
"@antv/g2","5.5.8, 5.6.8"
"@antv/g2-brush","0.1.2, 0.2.2"
"@antv/g2-extension-3d","0.3.0, 0.4.0"
"@antv/g2-extension-ava","0.3.0, 0.4.0"
"@antv/g2-extension-plot","0.3.2, 0.4.2"
"@antv/g2plot","2.5.35, 2.6.35"
"@antv/g2plot-schemas","1.3.2, 1.4.2"
"@antv/g2-plugin-slider","2.2.1, 2.3.1"
